platform,simulator,dataset_variant,summary,score
Visium,SRTsim-rb-tissue,SpatialDE,Novelty-Gated Plausibility,0.0014706440166513208
Visium,SRTsim-rb-tissue,SpatialDE,Conservative Minimum Plausibility,0.9864791765200374
Visium,SRTsim-rb-tissue,SpatialDE,coverage_Q,1.0
Visium,SRTsim-rb-tissue,SpatialDE,novelty_gate,0.0014807899390802959
Visium,SRTsim-rb-tissue,SpatialDE,copy_similarity,0.9999259605030459
MERFISH,scDesign3-rb,Spapros,Balanced Realism,0.9324390598476384
MERFISH,scDesign3-rb,Spapros,Spatial Tissue Fidelity,0.9343227536779324
MERFISH,scDesign3-rb,Spapros,Novelty-Gated Plausibility,0.9324390598476384
MERFISH,scDesign3-rb,Spapros,Conservative Minimum Plausibility,0.8040084804940362
MERFISH,scDesign3-rb,Spapros,coverage_Q,1.0
MERFISH,scDesign3-rb,Spapros,novelty_gate,1.0
MERFISH,scDesign3-rb,Spapros,copy_similarity,0.9489736808097259
MERFISH,SRTsim-rf-tissue,Spapros,Balanced Realism,0.8882050788057637
MERFISH,SRTsim-rf-tissue,Spapros,Spatial Tissue Fidelity,0.8702355489072288
MERFISH,SRTsim-rf-tissue,Spapros,Novelty-Gated Plausibility,0.008728973875633244
MERFISH,SRTsim-rf-tissue,Spapros,Conservative Minimum Plausibility,0.7844204156780041
MERFISH,SRTsim-rf-tissue,Spapros,coverage_Q,1.0
MERFISH,SRTsim-rf-tissue,Spapros,novelty_gate,0.009827655891553544
MERFISH,SRTsim-rf-tissue,Spapros,copy_similarity,0.9995086172054223
Visium,scDesign3-rb,Spapros,Balanced Realism,0.9508402822793627
Visium,scDesign3-rb,Spapros,Spatial Tissue Fidelity,0.9476952449562807
Visium,scDesign3-rb,Spapros,Novelty-Gated Plausibility,0.00016249080372938014
Visium,scDesign3-rb,Spapros,Conservative Minimum Plausibility,0.8514810909577715
Visium,scDesign3-rb,Spapros,coverage_Q,1.0
Visium,scDesign3-rb,Spapros,novelty_gate,0.00017089179619089734
Visium,scDesign3-rb,Spapros,copy_similarity,0.9999914554101904
Xenium,SRTsim-rb-domain,Xenium,Balanced Realism,0.9966454353445005
Xenium,SRTsim-rb-domain,Xenium,Spatial Tissue Fidelity,0.9998351933858847
Xenium,SRTsim-rb-domain,Xenium,Novelty-Gated Plausibility,0.00030652823724524805
Xenium,SRTsim-rb-domain,Xenium,Conservative Minimum Plausibility,0.9870761612203478
Xenium,SRTsim-rb-domain,Xenium,coverage_Q,1.0
Xenium,SRTsim-rb-domain,Xenium,novelty_gate,0.00030755996704012745
Xenium,SRTsim-rb-domain,Xenium,copy_similarity,0.999984622001648
MERFISH,SRTsim-rb-tissue,Spapros,Balanced Realism,0.9686169612902173
MERFISH,SRTsim-rb-tissue,Spapros,Spatial Tissue Fidelity,0.9747485442350196
MERFISH,SRTsim-rb-tissue,Spapros,Novelty-Gated Plausibility,0.018356220972487215
MERFISH,SRTsim-rb-tissue,Spapros,Conservative Minimum Plausibility,0.9247452879932769
MERFISH,SRTsim-rb-tissue,Spapros,coverage_Q,1.0
MERFISH,SRTsim-rb-tissue,Spapros,novelty_gate,0.01895095967350846
MERFISH,SRTsim-rb-tissue,Spapros,copy_similarity,0.9990524520163245
