platform,simulator,dataset_variant,perturbation,replicate,summary,score,delta,expected_damaged_layer,evidence_state
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,3,Novelty-Gated Plausibility,0.00039381288252145365,-1.529938419231997e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,4,Balanced Realism,0.9284679019278925,-0.041448550709908605,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,4,Spatial Tissue Fidelity,0.9121889110641975,-0.05526473427987799,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,4,Novelty-Gated Plausibility,0.0003916292036243553,-1.7483063089418342e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,0,Balanced Realism,0.8998563782147206,-0.07006007442308049,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,0,Spatial Tissue Fidelity,0.8740402127799684,-0.09341343256410717,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,0,Novelty-Gated Plausibility,0.0003795608184674723,-2.95514482463013e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,1,Balanced Realism,0.9016625009212281,-0.068253951716573,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,1,Spatial Tissue Fidelity,0.876448376388645,-0.09100526895543049,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,1,Novelty-Gated Plausibility,0.0003803226438313095,-2.8789622882464125e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,2,Balanced Realism,0.8872476647697596,-0.08266878786804155,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,2,Spatial Tissue Fidelity,0.8572285948533537,-0.11022505049072184,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,2,Novelty-Gated Plausibility,0.0003742424435458142,-3.4869823167959395e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,3,Balanced Realism,0.8896358044032782,-0.08028064823452297,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,3,Spatial Tissue Fidelity,0.8604127810313784,-0.1070408643126971,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,3,Novelty-Gated Plausibility,0.0003752497645537636,-3.3862502160010035e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,4,Balanced Realism,0.8839253032238663,-0.08599114941393482,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,4,Spatial Tissue Fidelity,0.8527987794588294,-0.1146548658852461,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_medium,4,Novelty-Gated Plausibility,0.0003728410662836938,-3.6271200430079806e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,0,Balanced Realism,0.8379428571373877,-0.13197359550041343,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,0,Spatial Tissue Fidelity,0.7914888513435244,-0.1759647940005511,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,0,Novelty-Gated Plausibility,0.00035344559907997565,-5.566666763379797e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,1,Balanced Realism,0.8399250684438994,-0.12999138419390177,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,1,Spatial Tissue Fidelity,0.7941317997522067,-0.1733218455918688,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,1,Novelty-Gated Plausibility,0.00035428169888888927,-5.483056782488435e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,2,Balanced Realism,0.8217742648855115,-0.1481421877522896,spatial,computed
